iter	Passed	Remaining
0	27	27325
1	49	24695
2	66	22088
3	81	20220
4	101	20256
5	115	19078
6	129	18422
7	145	17990
8	161	17820
9	174	17318
10	188	16976
11	203	16720
12	217	16516
13	232	16393
14	247	16275
15	262	16152
16	277	16028
17	296	16192
18	310	16025
19	322	15823
20	336	15701
21	349	15519
22	367	15618
23	383	15588
24	398	15531
25	412	15463
26	429	15471
27	445	15455
28	459	15383
29	473	15311
30	493	15413
31	506	15316
32	518	15188
33	533	15163
34	544	15007
35	567	15191
36	582	15173
37	596	15103
38	607	14968
39	633	15199
40	645	15104
41	661	15081
42	672	14968
43	689	14978
44	704	14958
45	719	14913
46	734	14901
47	748	14850
48	762	14802
49	779	14807
50	790	14717
51	801	14608
52	816	14590
53	832	14585
54	845	14526
55	856	14445
56	866	14339
57	882	14330
58	895	14287
59	916	14353
60	927	14284
61	941	14240
62	962	14310
63	981	14359
64	995	14323
65	1008	14271
66	1024	14265
67	1038	14230
68	1055	14242
69	1069	14202
70	1085	14203
71	1097	14149
72	1116	14175
73	1130	14142
74	1144	14117
75	1157	14069
76	1181	14163
77	1192	14094
78	1203	14033
79	1223	14069
80	1235	14017
81	1250	14003
82	1267	14005
83	1284	14005
84	1295	13946
85	1323	14069
86	1345	14114
87	1361	14114
88	1386	14193
89	1404	14201
90	1424	14233
91	1441	14224
92	1462	14265
93	1482	14290
94	1493	14228
95	1512	14242
96	1530	14250
97	1545	14221
98	1557	14179
99	1575	14179
100	1588	14138
101	1602	14106
102	1619	14107
103	1630	14046
104	1645	14025
105	1662	14019
106	1677	13997
107	1687	13941
108	1702	13918
109	1720	13917
110	1737	13918
111	1751	13888
112	1765	13857
113	1779	13827
114	1796	13827
115	1811	13801
116	1822	13756
117	1842	13772
118	1854	13732
119	1874	13743
120	1886	13707
121	1907	13724
122	1928	13752
123	1946	13748
124	1963	13747
125	1975	13702
126	1991	13689
127	2009	13689
128	2023	13663
129	2035	13622
130	2049	13592
131	2063	13567
132	2077	13540
133	2094	13533
134	2108	13509
135	2126	13509
136	2142	13498
137	2158	13482
138	2172	13454
139	2185	13425
140	2200	13407
141	2217	13397
142	2234	13389
143	2242	13332
144	2259	13323
145	2274	13304
146	2295	13319
147	2306	13278
148	2321	13258
149	2337	13243
150	2351	13221
151	2360	13167
152	2370	13123
153	2389	13125
154	2403	13103
155	2424	13117
156	2438	13093
157	2454	13081
158	2468	13058
159	2486	13055
160	2499	13027
161	2516	13015
162	2529	12989
163	2541	12953
164	2559	12951
165	2568	12902
166	2587	12904
167	2600	12879
168	2617	12869
169	2630	12842
170	2642	12808
171	2663	12821
172	2681	12817
173	2695	12796
174	2710	12777
175	2726	12764
176	2743	12758
177	2757	12732
178	2767	12694
179	2782	12675
180	2797	12659
181	2815	12654
182	2829	12630
183	2847	12627
184	2860	12599
185	2880	12604
186	2896	12593
187	2915	12590
188	2929	12570
189	2943	12548
190	2955	12519
191	2969	12497
192	2982	12472
193	2998	12457
194	3013	12439
195	3025	12409
196	3039	12391
197	3055	12378
198	3072	12368
199	3084	12339
200	3099	12321
201	3113	12299
202	3127	12279
203	3144	12268
204	3154	12234
205	3172	12226
206	3183	12196
207	3204	12201
208	3217	12178
209	3227	12143
210	3238	12111
211	3258	12110
212	3268	12075
213	3285	12068
214	3299	12047
215	3312	12024
216	3326	12001
217	3338	11976
218	3358	11977
219	3369	11946
220	3387	11940
221	3400	11916
222	3417	11908
223	3431	11887
224	3447	11876
225	3463	11861
226	3472	11826
227	3493	11829
228	3505	11800
229	3521	11788
230	3534	11765
231	3552	11758
232	3564	11733
233	3578	11713
234	3592	11693
235	3603	11664
236	3623	11664
237	3636	11642
238	3655	11640
239	3667	11613
240	3683	11599
241	3696	11578
242	3711	11562
