city,lat,lng,country,iso2,admin_name,capital,population,population_proper
São Paulo,-23.5504,-46.6339,Brazil,BR,São Paulo,admin,22046000,12252023
Rio de Janeiro,-22.9083,-43.1964,Brazil,BR,Rio de Janeiro,admin,12272000,6520000
Belo Horizonte,-19.8917,-43.9478,Brazil,BR,Minas Gerais,admin,5159000,2502557
Brasília,-15.7744,-48.0773,Brazil,BR,Distrito Federal,primary,3015268,3015268
Salvador,-12.9708,-38.5108,Brazil,BR,Bahia,admin,2921087,2921087
Fortaleza,-3.7275,-38.5275,Brazil,BR,Ceará,admin,2452185,2452185
Curitiba,-25.4297,-49.2719,Brazil,BR,Paraná,admin,1879355,1879355
Manaus,-3.1000,-60.0167,Brazil,BR,Amazonas,admin,1802014,1802014
Vitória,-20.3240,-40.3660,Brazil,BR,Espírito Santo,admin,1704000,312656
Recife,-8.0539,-34.8808,Brazil,BR,Pernambuco,admin,1555039,1555039
Porto Alegre,-30.0328,-51.2300,Brazil,BR,Rio Grande do Sul,admin,1484941,1484941
Goiânia,-16.6789,-49.2539,Brazil,BR,Goiás,admin,1393575,1393575
Belém,-1.4558,-48.5039,Brazil,BR,Pará,admin,1393399,1393399
Guarulhos,-23.4667,-46.5333,Brazil,BR,São Paulo,,1324781,1324781
Vila Velha,3.2167,-51.2167,Brazil,BR,Amapá,,1209091,275736
Campinas,-22.9009,-47.0573,Brazil,BR,São Paulo,,1164098,1164098
São Luís,-2.5300,-44.3028,Brazil,BR,Maranhão,admin,1073893,1073893
Maceió,-9.6658,-35.7350,Brazil,BR,Alagoas,admin,1029129,1029129
Joinvile,-26.3200,-48.8399,Brazil,BR,Santa Catarina,,988000,433475
Natal,-6.9838,-60.2699,Brazil,BR,Amazonas,,980588,980588
Olinda,-8.0000,-34.8500,Brazil,BR,Pernambuco,,921840,397268
Natal,-5.7950,-35.2089,Brazil,BR,Rio Grande do Norte,admin,877662,877662
Novo Hamburgo,-29.7096,-51.1400,Brazil,BR,Rio Grande do Sul,,876990,237044
Campo Grande,-20.4686,-54.6222,Brazil,BR,Mato Grosso do Sul,admin,874210,874210
Teresina,-5.0949,-42.8042,Brazil,BR,Piauí,admin,847430,847430
Iguaçu,-22.7400,-43.4700,Brazil,BR,Rio de Janeiro,,844583,844583
São Bernardo do Campo,-23.6939,-46.5650,Brazil,BR,São Paulo,,816925,816925
João Pessoa,-7.0833,-34.8333,Brazil,BR,Paraíba,admin,801718,801718
Santo André,-23.6572,-46.5333,Brazil,BR,São Paulo,,710210,710210
Jaboatão,-8.1803,-35.0014,Brazil,BR,Pernambuco,,702621,659807
Osasco,-23.5328,-46.7919,Brazil,BR,São Paulo,,694844,694844
São José dos Campos,-23.1789,-45.8869,Brazil,BR,São Paulo,,688597,688597
Aracaju,-10.9111,-37.0717,Brazil,BR,Sergipe,admin,685356,490175
Ribeirão Prêto,-21.1783,-47.8067,Brazil,BR,São Paulo,,666323,666323
São José dos Pinhais,-25.5700,-49.1800,Brazil,BR,Paraná,,665063,279297
Sorocaba,-23.5019,-47.4578,Brazil,BR,São Paulo,,644919,644919
Uberlândia,-18.9189,-48.2769,Brazil,BR,Minas Gerais,,604013,604013
Canoas,-29.9200,-51.1800,Brazil,BR,Rio Grande do Sul,,600000,333322
Cuiabá,-15.5958,-56.0969,Brazil,BR,Mato Grosso,admin,585367,585367
Londrina,-23.3000,-51.1800,Brazil,BR,Paraná,,520238,471832
Niterói,-22.8833,-43.1036,Brazil,BR,Rio de Janeiro,,496696,496696
Feira de Santana,-12.2500,-38.9700,Brazil,BR,Bahia,,481911,416478
Americana,-22.7392,-47.3314,Brazil,BR,São Paulo,,479472,196022
Florianópolis,-27.5933,-48.5530,Brazil,BR,Santa Catarina,admin,477798,477798
Macapá,0.0330,-51.0653,Brazil,BR,Amapá,admin,474706,474706
Vila Velha,-20.3364,-40.2936,Brazil,BR,Espírito Santo,,472762,472762
Juiz de Fora,-21.7642,-43.3503,Brazil,BR,Minas Gerais,,470193,459336
Volta Redonda,-22.5196,-44.0950,Brazil,BR,Rio de Janeiro,,456362,249580
Mauá,-23.6678,-46.4608,Brazil,BR,São Paulo,,453286,453286
São José do Rio Prêto,-20.8200,-49.3789,Brazil,BR,São Paulo,,442548,442548
Santos,-23.9608,-46.3339,Brazil,BR,São Paulo,,433966,433966
Mogi das Cruzes,-23.5228,-46.1931,Brazil,BR,São Paulo,,424633,424633
Diadema,-23.6858,-46.6228,Brazil,BR,São Paulo,,412428,412428
Ipatinga,-19.4796,-42.5200,Brazil,BR,Minas Gerais,,407894,228746
Campina Grande,-7.2306,-35.8811,Brazil,BR,Paraíba,,405072,405072
Jundiaí,-23.1864,-46.8842,Brazil,BR,São Paulo,,401896,401896
Carapicuíba,-23.5228,-46.8358,Brazil,BR,São Paulo,,392294,392294
Campos,-21.7523,-41.3304,Brazil,BR,Rio de Janeiro,,387417,370469
Rio Branco,-9.9781,-67.8117,Brazil,BR,Acre,admin,383443,383443
Caxias do Sul,-29.1800,-51.1700,Brazil,BR,Rio Grande do Sul,,381270,373891
Bauru,-22.3147,-49.0606,Brazil,BR,São Paulo,,366992,366992
Anápolis,-16.3269,-48.9528,Brazil,BR,Goiás,,366491,366491
Montes Claros,-16.7322,-43.8636,Brazil,BR,Minas Gerais,,361915,361915
São Vicente,-23.9633,-46.3922,Brazil,BR,São Paulo,,355542,355542
Itaquaquecetuba,-23.4864,-46.3486,Brazil,BR,São Paulo,,352801,352801
Piracicaba,-22.7250,-47.6489,Brazil,BR,São Paulo,,342209,316851
Franca,-20.5389,-47.4008,Brazil,BR,São Paulo,,342112,342112
Maringá,-23.4095,-51.9300,Brazil,BR,Paraná,,328335,311724
