iter	Passed	Remaining
0	77	77831
1	94	46968
2	111	36930
3	126	31536
4	143	28617
5	160	26593
6	176	25041
7	192	23855
8	206	22752
9	223	22158
10	241	21711
11	256	21155
12	275	20928
13	291	20500
14	307	20207
15	324	19944
16	338	19591
17	355	19395
18	370	19109
19	385	18874
20	401	18728
21	416	18519
22	431	18344
23	447	18205
24	464	18098
25	480	18005
26	496	17894
27	512	17797
28	529	17743
29	545	17643
30	562	17576
31	579	17520
32	595	17445
33	611	17375
34	626	17285
35	642	17215
36	659	17154
37	674	17079
38	689	16992
39	706	16954
40	722	16910
41	738	16851
42	755	16823
43	771	16757
44	782	16602
45	804	16677
46	820	16631
47	839	16646
48	854	16588
49	864	16421
50	881	16396
51	898	16372
52	910	16265
53	928	16273
54	946	16255
55	973	16405
56	994	16448
57	1021	16596
58	1032	16473
59	1059	16603
60	1077	16588
61	1095	16574
62	1105	16440
63	1122	16415
64	1149	16533
65	1166	16509
66	1184	16500
67	1205	16517
68	1228	16581
69	1259	16730
70	1285	16822
71	1311	16904
72	1331	16905
73	1362	17052
74	1399	17258
75	1419	17263
76	1452	17414
77	1468	17358
78	1496	17451
79	1523	17521
880	1539	1746281	1566	17537
82	1588	17553
883	1603	17481884	1621	17451885	1640	17434886	1659	17417887	1677	17387888	1695	17354889	1713	17320990	1729	17272991	1756	17340992	1794	17505993	1812	17466994	1831	1744995	1856	17484
96	1877	17475
997	1892	17418998	1914	17421999	1933	173981100	1951	173661101	1967	173241102	1987	173061103	2008	173041104	2026	172721105	2044	172471106	2068	172611107	2088	17252108	2115	17294
109	2135	17280
1110	2151	17227111	2175	17250
112	2197	17253
113	2218	17239
114	2238	17229
115	2257	17202
116	2280	17208
117	2303	17216
118	2322	17191
119	2343	17185
120	2360	17146
121	2379	17121
122	2396	17088
123	2429	17163
124	2447	17133
125	2463	17090
126	2479	17045
127	2496	17004
128	2515	16985
129	2533	16953
130	2550	16920
131	2568	16892
132	2587	16867
133	2604	16833
134	2625	16825
135	2645	16807
136	2669	16813
137	2689	16799
138	2711	16795
139	2729	16767
140	2745	16728
141	2763	16699
142	2783	16682
143	2800	16650
144	2819	16624
145	2840	16617
