iter	Passed	Remaining
0	80	80525
1	101	5046122	124	4130633	149	3728044	172	342395	204	33818
6	223	31712
7	259	32170
8	291	32055
99	313	31000110	337	30328111	365	3005912	395	30016
113	415	29251114	439	28879115	466	2867116	499	28870
17	526	28711
18	548	28297
19	572	28037
20	591	27577
21	615	27376
22	640	27226
23	666	27100
24	688	26869
25	715	26794
26	745	26855
27	763	26497
28	789	26429
29	813	26292
30	832	26006
31	858	25966
32	883	25876
33	911	25894
34	932	25701
35	959	25687
36	984	25633
37	1005	25451
38	1034	25484
39	1062	25509
40	1084	25377
41	1110	25339
42	1132	25195
43	1156	25129
44	1176	24970
45	1208	25065
46	1240	25147
47	1262	25032
48	1293	25100
49	1323	25152
50	1345	25034
51	1369	24959
52	1400	25017
53	1419	24868
54	1443	24806
55	1471	24801
56	1492	24694
57	1515	24612
58	1541	24579
59	1566	24542
60	1587	24429
61	1610	24369
62	1637	24355
63	1657	24234
64	1680	24177
65	1703	24102
66	1723	24001
67	1752	24023
68	1778	23995
69	1799	23903
70	1827	23905
71	1854	23897
72	1873	23793
73	1899	23767
74	1922	23709
75	1950	23712
76	1967	23588
77	1993	23565
78	2017	23526
79	2039	23450
80	2062	23404
81	2082	23312
82	2106	23271
83	2128	23209
84	2153	23181
85	2177	23146
86	2204	23133
87	2234	23159
88	2256	23095
89	2280	23061
90	2310	23082
91	2335	23054
92	2358	23003
93	2381	22953
94	2411	22972
95	2443	23009
96	2462	22927
97	2485	22881
98	2513	22874
99	2536	22824
100	2559	22786
101	2577	22692
102	2604	22678
103	2621	22582
104	2646	22556
105	2641	22277
106	2684	22405
107	2709	22377
108	2726	22288
109	2751	22265
110	2775	22231
111	2798	22188
112	2817	22118
113	2844	22107
114	2874	22122
115	2895	22062
116	2922	22055
117	2943	22004
118	2963	21939
119	2982	21870
120	3005	21834
121	3030	21811
122	3052	21767
123	3080	21764
124	3103	21727
125	3127	21694
126	3149	21648
127	3175	21633
128	3206	21649
129	3225	21584
130	3248	21547
131	3277	21551
132	3298	21499
133	3318	21444
134	3340	21402
135	3369	21406
136	3390	21357
137	3417	21345
138	3442	21321
139	3461	21262
140	3482	21215
141	3508	21196
142	3533	21179
143	3553	21124
144	3576	21090
145	3603	21077
146	3622	21021
147	3642	20970
148	3669	20956
149	3693	20932
150	3716	20897
151	3741	20873
152	3763	20834
153	3791	20828
154	3809	20770
155	3839	20772
156	3869	20776
157	3888	20723
158	3916	20716
159	3941	20692
160	3958	20628
161	3981	20597
162	4003	20555
163	4030	20546
164	4048	20487
165	4073	20463
166	4097	20436
167	4118	20398
168	4139	20355
169	4166	20342
170	4191	20318
171	4209	20265
172	4233	20237
173	4253	20190
174	4283	20195
175	4311	20186
176	4333	20149
177	4362	20147
178	4381	20098
179	4407	20080
180	4430	20049
181	4451	20005
182	4478	19995
183	4498	19950
184	4523	19927
185	4542	19878
186	4569	19866
187	4594	19844
188	4619	19822
189	4651	19828
190	4676	19807
191	4698	19771
192	4727	19767
193	4758	19770
194	4779	19732
195	4804	19709
196	4826	19672
197	4856	19669
198	4877	19631
199	4903	19614
200	4927	19587
201	4952	19563
202	4975	19534
203	5001	19517
204	5022	19478
205	5045	19447
206	5070	19426
207	5098	19415
208	5116	19365
209	5143	19348
210	5171	19337
211	5192	19302
212	5220	19290
213	5246	19271
214	5266	19230
215	5289	19198
216	5312	19169
217	5337	19147
218	5360	19116
219	5389	19108
220	5414	19087
221	5436	19051
222	5459	19021
223	5481	18989
224	5507	18968
225	5527	18931
226	5553	18909
227	5581	18897
228	5607	18878
229	5633	18858
230	5658	18836
231	5682	18810
232	5703	18774
233	5727	18748
234	5750	18720
235	5772	18688
236	5800	18675
237	5823	18646
238	5847	18617
239	5866	18578
240	5892	18558
241	5920	18544
242	5941	18508
243	5966	18485
244	5993	18468
245	6013	18432
246	6033	18393
247	6058	18372
248	6083	18349
249	6104	18313
250	6129	18290
251	6153	18265
252	6175	18234
253	6196	18197
254	6220	18172
255	6242	18142
256	6263	18109
257	6292	18096
258	6314	18066
259	6340	18047
260	6359	18005
261	6383	17981
262	6406	17952
263	6425	17914
264	6444	17874
265	6471	17857
266	6496	17834
267	6518	17804
268	6542	17779
269	6562	17743
270	6589	17724
271	6607	17684
272	6630	17658
273	6654	17632
274	6676	17600
275	6702	17580
276	6731	17569
277	6759	17555
278	6788	17541
279	6809	17510
280	6838	17497
281	6856	17457
282	6880	17433
283	6904	17408
284	6923	17368
285	6950	17350
286	6973	17325
287	6997	17300
288	7016	17261
289	7043	17245
290	7068	17221
291	7086	17181
292	7106	17147
293	7130	17123
294	7155	17100
295	7177	17071
296	7202	17047
297	7225	17020
298	7249	16996
299	7277	16980
300	7300	16953
301	7328	16938
302	7348	16904
303	7376	16888
304	7406	16877
305	7426	16842
306	7454	16826
307	7480	16806
308	7508	16790
309	7540	16783
310	7566	16762
311	7589	16735
312	7618	16721
313	7648	16709
314	7672	16684
315	7698	16663
316	7728	16651
317	7751	16625
318	7784	16617
319	7815	16608
320	7844	16593
321	7868	16566
322	7888	16534
323	7906	16496
324	7933	16477
325	7953	16443
326	7976	16417
327	7997	16384
328	8024	16366
329	8046	16336
330	8074	16319
331	8100	16298
332	8122	16269
333	8150	16252
334	8179	16236
335	8209	16223
336	8236	16203
337	8262	16182
338	8283	16151
339	8306	16123
340	8327	16093
341	8351	16068
342	8368	16028
343	8392	16004
344	8421	15988
345	8444	15961
346	8473	15946
347	8495	15916
348	8524	15901
349	8555	15887
350	8577	15859
351	8604	15840
352	8635	15827
353	8665	15814
354	8696	15801
355	8729	15791
356	8762	15782
