iter	RMSE
0	0.9681229607
1	0.9396962144
2	0.9152529199
3	0.8900038429
4	0.868080941
5	0.8464742549
6	0.8271133055
7	0.8094083916
8	0.7941128844
9	0.781054591
10	0.7667563454
11	0.7556969468
12	0.7439586326
13	0.7344864257
14	0.7251892087
15	0.7167287797
16	0.7084419323
17	0.7005108259
18	0.6928513045
19	0.685807419
20	0.678879749
21	0.67312077
22	0.6681460842
23	0.6628904571
24	0.6581830928
25	0.6542257099
26	0.6496486625
27	0.645905841
28	0.6429860999
29	0.639366983
30	0.636079443
31	0.6337043803
32	0.6306749939
33	0.6282871809
34	0.6257850686
35	0.623162665
36	0.6207937725
37	0.6187336096
38	0.6170908066
39	0.6154036691
40	0.6133613002
41	0.6118315413
42	0.610361341
43	0.6087807301
44	0.6076099625
45	0.6063503454
46	0.605043275
47	0.6037466953
48	0.6024266947
49	0.6014776147
50	0.6006224905
51	0.599674926
52	0.5985533508
53	0.5978352252
54	0.5969520596
55	0.5962609159
56	0.5953124837
57	0.5943560868
58	0.5936126001
59	0.5931384962
60	0.5924341042
61	0.5919505756
62	0.5914195772
63	0.5908401081
64	0.5901721705
65	0.589335204
66	0.5887307409
67	0.5880854524
68	0.5875211854
69	0.5869079161
70	0.5864683152
71	0.5859421106
72	0.5855064739
73	0.5851916962
74	0.5848868409
75	0.5844361319
76	0.584025797
77	0.5837655772
78	0.5832522067
79	0.5828971393
80	0.5825728582
81	0.5822556192
82	0.5818708592
83	0.5816186106
84	0.5811585798
85	0.5808060584
86	0.5806282388
87	0.5803996326
88	0.5799716637
89	0.579708612
90	0.5794603186
91	0.5789722463
92	0.5786610945
93	0.5783832727
94	0.5781644377
95	0.5777652543
96	0.577534388
97	0.5771328207
98	0.5769557209
99	0.5766550168
100	0.5764850753
101	0.5762203855
102	0.5760496469
103	0.5757927955
104	0.5756346899
105	0.5751823284
106	0.5747902178
107	0.5744937267
108	0.5742756906
109	0.5740623875
110	0.5737578132
111	0.5735525742
112	0.5733180633
113	0.5729667617
114	0.5728174033
115	0.5725245785
116	0.5723310915
117	0.5721517594
118	0.5719021678
119	0.5717055935
120	0.5715646173
121	0.5713678006
122	0.571162352
123	0.5708901458
124	0.5707112407
125	0.570569366
126	0.5703487711
127	0.5700829394
128	0.5699583826
129	0.5697501748
130	0.569457713
131	0.569167642
132	0.5689281955
133	0.5688018351
134	0.5685860888
135	0.5684202632
136	0.5681736574
137	0.5680152353
138	0.5678269584
139	0.567592417
140	0.5674208084
141	0.5671355871
142	0.567044073
143	0.5668654537
144	0.5665932598
145	0.5663992925
146	0.5661976744
147	0.5660090227
148	0.5658191325
149	0.5656896111
150	0.5654935468
151	0.5653031447
152	0.5651856941
153	0.5650203343
154	0.564849301
155	0.5646437779
156	0.5644905801
157	0.5643565506
158	0.5641155917
159	0.563917784
160	0.5636789583
161	0.5634988707
162	0.563327396
163	0.5630875859
164	0.562917067
165	0.5627782833
166	0.5625912442
167	0.5623442315
168	0.562194288
169	0.5619704626
170	0.56174774
171	0.5615493462
172	0.5613727336
173	0.5611872094
174	0.560954244
175	0.5607527561
176	0.5605887702
177	0.5603880715
178	0.5601851891
179	0.5600159476
180	0.5598183711
181	0.5596489398
182	0.5594994493
183	0.559323999
184	0.5591317545
185	0.5589645037
186	0.5587576401
187	0.5585788939
188	0.5583853174
189	0.5580838177
190	0.5578934572
191	0.5577272184
192	0.5575016545
193	0.5573518973
194	0.5571878701
195	0.5568619616
196	0.5565819629
197	0.5564122016
198	0.5562073867
199	0.5560881539
200	0.5558242053
201	0.5556769082
202	0.5555560503
203	0.5553472768
204	0.5552129732
205	0.5550325199
206	0.5548984224
207	0.5546442674
208	0.5544832776
209	0.5542959224
210	0.5541339278
211	0.5539997288
212	0.5538898991
213	0.5537606681
214	0.5534721943
215	0.5532658832
216	0.5531080568
217	0.552878207
218	0.5526483932
219	0.5524332081
220	0.5522825851
221	0.5520044644
222	0.5518495191
223	0.5516883726
224	0.5515609504
225	0.5514013132
226	0.5512321309
227	0.551101277
228	0.5509724008
229	0.5508220097
230	0.5506972191
231	0.5505546191
232	0.5503846645
233	0.5502269147
234	0.5500623227
235	0.5498843868
236	0.5496428788
237	0.5495385778
238	0.5493759029
239	0.5492469138
240	0.549064504
241	0.5489258483
242	0.548759896
243	0.5486213681
244	0.5485353022
245	0.5483712933
246	0.5482359794
247	0.5480506582
248	0.5478354672
249	0.5477171251
250	0.5476352546
251	0.5474329939
252	0.547262478
253	0.5469756776
254	0.5468118707
255	0.5467100516
256	0.5465832299
257	0.5464518517
258	0.5462153373
259	0.5460472345
