iter	Passed	Remaining
0	54	54376
1	58	29415
2	64	21389
3	69	17214
4	72	14438
5	76	12713
6	80	11360
7	84	10422
8	87	9642
9	91	9030
10	94	8474
11	97	8025
12	100	7634
13	103	7285
14	107	7034
15	110	6771
16	113	6560
17	116	6334
18	119	6149
19	122	5986
20	125	5830
21	127	5683
22	130	5562
23	133	5429
24	136	5313
25	139	5208
26	141	5105
27	144	5017
28	147	4942
29	150	4864
30	153	4789
31	156	4737
32	160	4693
33	163	4641
34	166	4592
35	169	4536
36	172	4492
37	176	4456
38	179	4414
39	182	4377
40	186	4355
41	189	4324
42	193	4299
43	196	4277
44	200	4254
45	203	4226
46	207	4208
47	211	4189
48	214	4158
49	216	4122
50	219	4090
51	223	4071
52	226	4039
53	229	4028
54	233	4016
55	237	4008
56	241	3993
57	245	3986
58	249	3978
59	252	3962
60	256	3944
61	260	3933
62	264	3927
63	267	3908
64	269	3883
65	272	3859
66	275	3839
67	279	3824
68	281	3802
69	285	3787
70	288	3769
71	291	3752
72	294	3742
73	298	3730
74	301	3712
75	303	3691
76	306	3679
77	309	3661
78	312	3640
79	315	3627
80	318	3611
81	321	3598
82	324	3588
83	327	3571
84	331	3565
85	334	3552
86	337	3541
87	340	3530
88	343	3518
89	347	3510
90	350	3498
91	354	3495
92	357	3488
93	361	3485
94	364	3472
95	367	3461
96	370	3448
97	372	3432
98	376	3423
99	378	3408
100	381	3394
101	384	3384
102	387	3375
103	390	3364
104	393	3352
105	395	3339
106	399	3332
107	402	3323
108	405	3315
109	409	3311
110	412	3302
111	415	3295
112	418	3284
113	421	3275
114	424	3265
115	427	3254
116	429	3243
117	432	3229
118	434	3215
119	436	3202
120	440	3196
121	443	3193
122	446	3186
123	449	3177
124	452	3167
125	455	3159
126	458	3149
127	461	3140
128	463	3129
129	466	3120
130	469	3112
131	472	3105
132	475	3098
133	478	3092
134	481	3083
135	484	3075
136	487	3070
137	490	3063
138	493	3056
139	496	3050
140	498	3038
141	500	3026
142	503	3016
143	506	3007
144	510	3012
145	514	3009
146	517	3003
147	520	2997
148	523	2990
149	526	2985
150	529	2978
151	532	2972
152	535	2963
153	538	2958
154	542	2955
155	545	2949
156	548	2943
157	550	2935
158	553	2929
159	556	2922
160	560	2918
161	563	2913
162	565	2906
163	568	2899
164	572	2896
165	575	2889
166	578	2883
167	581	2877
168	583	2870
169	587	2868
170	590	2863
171	593	2858
172	597	2854
173	600	2849
174	603	2845
175	606	2840
176	609	2835
177	613	2831
178	616	2825
179	619	2820
180	622	2815
181	625	2811
182	628	2806
183	631	2798
184	634	2793
185	636	2786
186	640	2783
